ID,Block
31247,492228
31246,492139
31245,492130
31244,492126
31243,492114
31242,492065
31241,492057
31240,492036
31239,492024
31238,492022
31237,492013
31236,492003
31235,491995
31234,491973
31233,491969
31232,491967
31231,491953
31230,491946
31229,491943
31228,491936
31227,491929
31226,491900
31225,491869
31224,491867
31223,491851
31222,491842
31221,491809
31220,491797
31219,491778
31218,491776
31217,491736
31216,491729
31215,491723
31214,491707
31213,491685
31212,491676
31211,491675
31210,491674
31209,491656
31208,491652
31207,491640
31206,491636
31205,491606
31204,491574
31203,491570
31202,491566
31201,491563
31200,491557
31199,491547
31198,491545
31197,491529
31196,491516
31195,491506
31194,491474
31193,491460
31192,491458
31191,491453
31190,491445
31189,491444
31188,491422
31187,491415
31186,491408
31185,491379
31184,491373
31183,491371
31182,491366
31181,491355
31180,491350
31179,491329
31178,491317
31177,491306
31176,491301
31175,491270
31174,491265
31173,491257
31172,491229
31171,491204
31170,491188
31169,491152
31168,491149
31167,491144
31166,491133
31165,491132
31164,491128
31163,491102
31162,491089
31161,491013
31160,491002
31159,490988
31158,490984
31157,490969
31156,490961
31155,490939
31154,490914
31153,490875
31152,490794
31151,490785
31150,490779
31149,490775
31148,490741
31147,490740
31146,490724
31145,490722
31144,490719
31143,490705
31142,490704
31141,490679
31140,490678
31139,490669
31138,490633
31137,490620
31136,490611
31135,490605
31134,490596
31133,490588
31132,490566
31131,490563
31130,490544
31129,490524
31128,490497
31127,490459
31126,490449
31125,490437
31124,490434
31123,490430
31122,490411
31121,490396
31120,490395
31119,490336
31118,490322
31117,490319
31116,490318
31115,490305
31114,490290
31113,490288
31112,490265
31111,490258
31110,490254
31109,490253
31108,490236
31107,490235
31106,490231
31105,490205
31104,490190
31103,490189
31102,490186
31101,490180
31100,490161
31099,490106
31098,490101
31097,490072
31096,490066
31095,490063
31094,490061
31093,490059
31092,490040
31091,490015
31090,490010
31089,489980
31088,489957
31087,489917
31086,489909
31085,489896
31084,489880
31083,489864
31082,489861
31081,489834
31080,489819
31079,489807
31078,489803
31077,489734
31076,489714
31075,489684
31074,489656
31073,489647
31072,489643
31071,489639
31070,489621
31069,489606
31068,489603
31067,489600
31066,489594
31065,489583
31064,489571
31063,489567
31062,489556
31061,489553
31060,489538
31059,489535
31058,489534
31057,489530
31056,489527
31055,489505
31054,489498
31053,489497
31052,489457
31051,489453
31050,489434
31049,489433
31048,489407
31047,489403
31046,489390
31045,489360
31044,489325
31043,489319
31042,489306
31041,489281
31040,489261
31039,489260
31038,489256
31037,489247
31036,489227
31035,489203
31034,489168
31033,489163
31032,489091
31031,489074
31030,489072
31029,489038
31028,489034
31027,488996
31026,488969
31025,488960
31024,488940
31023,488902
31022,488859
31021,488840
31020,488833
31019,488820
31018,488776
31017,488771
31016,488769
31015,488704
31014,488697
31013,488685
31012,488670
31011,488656
31010,488655
31009,488647
31008,488631
31007,488626
31006,488602
31005,488545
31004,488539
31003,488511
31002,488502
31001,488501
31000,488468
30999,488443
30998,488433
30997,488432
30996,488384
30995,488373
30994,488349
30993,488332
30992,488331
30991,488322
30990,488316
30989,488305
30988,488229
30987,488225
30986,488165
30985,488147
30984,488142
30983,488134
30982,488110
30981,488106
30980,488089
30979,488081
30978,488055
30977,488052
30976,488038
30975,488028
30974,487976
30973,487950
30972,487946
30971,487943
30970,487930
30969,487907
30968,487902
30967,487895
30966,487894
30965,487856
